pl_name,hostname,pl_rade,pl_masse,pl_dens,pl_orbsmax,pl_orbper,st_mass,st_teff,st_rad,st_lum,pl_orbeccen,sy_dist,glon,glat,planet_type,hz_start_con,hz_end_con,hz_start_opt,hz_end_opt,in_hz,hz_dist,X_gal,Y_gal,Z_gal,pl_seff
GJ 3090 b,GJ 3090,2.13,3.34,1.89,0.03165,2.8531054,0.519,3556.0,0.516,-1.34199,0.32,22.4751,287.95198,-69.52189,Mini-Neptune,0.17264610507987913,0.4518894101447732,0.22790373107993217,0.4345146806142192,Too_hot,0.19625373107993216,2.4235022090525056,-7.480098389083006,-21.054806699239855,45.42161494405013
GJ 3473 b,GJ 3473,1.264,1.86,5.03,0.01589,1.1980035,0.36,3347.0,0.364,-1.82391,0.0,27.3644,218.15071,17.28798,Super-Earth,0.09957150209728878,0.2628038361714252,0.13122085762719599,0.2526982635022767,Too_hot,0.11533085762719598,-20.546889579124855,-16.140205398085023,8.132003793092919,59.40762706564044
GJ 367 b,GJ 367,0.699,0.633,10.2,0.00709,0.3219225,0.455,3522.0,0.458,-1.5391,0.06,9.41263,272.24323,5.6589,Terrestrial,0.13769918808933337,0.36091236391352705,0.18172349714134725,0.34703538759760566,Too_hot,0.17463349714134724,0.3666312832942625,-9.359580058177862,0.9281412357875808,574.9201492297244
GJ 3929 b,GJ 3929,1.09,1.75,7.3,0.0252,2.616235,0.313,3384.0,0.32,-1.96257,0.0,15.8095,56.66419,49.59735,Super-Earth,0.08481582135613959,0.2235310826817576,0.11180862065526583,0.21493581042544846,Too_hot,0.08660862065526582,5.631193182019653,8.561007222747305,12.039065949185753,17.164411526301144
GJ 486 b,GJ 486,1.289,2.77,6.66,0.01714,1.46712127,0.312,3317.0,0.3243,-1.93892,0.00086,8.07426,300.0371,72.60142,Super-Earth,0.08727535554189696,0.23062287053205677,0.1149883497158509,0.22175462633529,Too_hot,0.0978483497158509,1.2085247053906527,-2.09009953624436,7.704844353564292,39.17945268275425
Gliese 12 b,Gliese 12,0.958,3.87,24.2706383807158,0.0668,12.761408,0.2414,3296.0,0.2617,-2.13787,0.5,12.21,109.835,-48.40659,Super-Earth,0.06943802400912243,0.18364005877004427,0.09147154047588472,0.17657839729122093,Too_hot,0.024671540475884726,-2.750294555323193,7.624619921911618,-9.131547015996144,1.6314624222052763
HAT-P-12 b,HAT-P-12,10.749,67.059,0.3192,0.0384,3.2130598,0.733,4650.0,0.701,-0.678,0.0,142.751,87.99255,68.87632,Gas-giant,0.3592446720027091,0.895967811050834,0.47512405469384844,0.8615386762199394,Too_hot,0.43672405469384845,1.8020877432664013,51.41336972211584,133.15879953868085,142.34347084035403
HAT-P-14 b,HAT-P-14,15.91678,1093.3352,1.49504564278999,0.07520895928821707,4.62767,2.65,6600.0,1.82,0.750607164455508,0.11,222.663,62.58916,33.53751,Neptune-like,1.7261267456569638,3.94478412912775,2.1986493294488896,3.7933341240673792,Too_hot,2.1234403701606723,85.4419620402835,164.7579541223172,123.01747536482449,995.5613001674693
HAT-P-15 b,HAT-P-15,11.88154,616.5902,2.026959990168683,0.09599734290384225,10.8635,1.0,5568.0,1.07,-0.006146891901674122,0.19,192.516,161.55863,-6.8916,Icy-Solid,0.7516396114662083,1.7937237644008255,0.9812946008419227,1.724829585221456,Too_hot,0.8852972579380805,-181.31037878224262,60.45937107960198,-23.100243516003896,106.98790495871148
HAT-P-16 b,HAT-P-16,14.448,1332.605,2.42,0.0413,2.77596,1.218,6158.0,1.237,0.29447,0.036,226.637,120.34675,-20.34266,Icy-Solid,1.0377186620676875,2.412204943859122,1.3364399397262403,2.319579663117843,Too_hot,1.2951399397262402,-107.36266153856957,183.38550945358438,-78.78669683902152,1154.9678538040168
